driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56
1,100107,97332,97081,97265,96940,96792,96846,96807,96683,96782,96776,96652,96325,96396,101146,123283,97712,97608,97553,97639,97737,97347,97483,97457,97618,97429,97414,97108,97737,97184,96801,96886,97048,96858,97393,97427,96961,101989,120670,98569,97815,97860,97534,97571,97622,97753,97865,97868,97907,98034,97963,98156,98435,98649,98756,98774
2,105103,99927,99232,99101,98851,98517,98283,98206,98240,97978,97728,97689,97736,97748,97675,97844,102268,122793,98636,98384,98441,98414,98405,98134,98148,97690,97778,97692,97761,97761,97703,97492,97364,97127,97291,97127,97806,97005,102138,120869,98077,97984,97688,97752,98845,98751,97298,97478,97579,97616,97553,97529,97091,97103,97399,96498
3,108822,101818,100782,100582,101005,100165,99822,99719,99507,99289,99795,99334,98210,98312,103117,124588,99554,99562,99461,100290,99362,99228,98937,100115,99278,99019,98838,98396,98721,98644,98808,98912,99088,98095,97572,97813,97899,97246,102586,123052,99177,98799,98620,99089,99211,98761,99173,101528,98821,98442,98448,98496,98381,98398,98865,inf
4,103782,98212,98082,98084,97970,97909,97759,97657,97453,97152,97200,97248,96924,101704,124078,98417,98250,98266,98128,98159,98160,98339,98034,97809,97737,97796,97477,97537,97426,97260,97069,97143,97357,96766,96708,101823,122345,98012,98155,98386,98211,98488,98372,98286,98107,97887,98034,97835,97815,97573,97412,96882,96683,96827,96929,96659
5,104409,99596,99450,98893,98693,98353,98078,98038,97802,97681,97605,97570,97445,97530,97682,97399,97412,101986,124693,98146,98113,98010,98075,98397,97961,98069,97835,97763,97751,97505,97404,97302,97375,97541,141752,128582,99213,98840,98738,98806,99047,98946,98930,98887,98845,98729,98808,98792,103616,inf,inf,inf,inf,inf,inf,inf
6,110475,102377,101612,101337,100969,100773,101593,100609,100364,100018,100067,99608,99671,99416,99360,99303,98852,98817,99729,99084,98985,99086,98960,98955,99163,98762,99032,98737,98871,98412,103471,124677,99704,99492,100139,100361,99474,99281,99295,99163,99506,99254,99091,99698,99222,99039,98887,98789,98865,98524,98346,98224,98239,98019,98198,98295
7,111413,103008,102108,101213,100808,99847,100314,99362,99650,99649,100360,99165,99310,99307,99626,98864,98725,98495,98977,98630,98632,98257,102973,121541,98845,98280,98414,98460,98630,99171,98099,97819,97697,97621,97858,97452,97470,97644,103299,121660,99330,99278,99391,99364,99409,98943,99153,98654,99060,98558,98167,98253,98261,98093,97970,98323
8,101214,98125,97686,97505,97329,97158,96951,97004,96912,96664,96612,96668,96701,96483,101473,124402,98339,97952,97794,97677,97579,97574,97764,97337,97384,97199,97141,97344,97216,98594,97139,97065,97020,97327,97186,97125,97890,103712,123123,97792,97711,98284,97842,98272,97419,98225,98575,98227,100494,100861,98605,97883,97444,97118,97599,98129
9,106650,100451,100156,99598,99596,99442,99242,99004,98945,98859,98621,98395,98504,98587,98441,98186,98041,97797,97985,97640,97737,97415,97596,97278,102032,121154,98453,98019,97766,97746,97791,97638,97453,97324,97658,97661,97526,97784,97987,102834,119386,97320,97567,97669,97713,97768,97718,97937,97704,97288,97118,96911,96948,96874,96855,96854
10,107984,102282,100760,100793,100639,100252,99772,99803,99488,99314,99938,100080,99446,98859,99208,99083,98639,99694,98882,98623,99277,98214,98029,97991,97836,97887,97507,97756,97529,98293,97446,102218,124087,98407,98814,98757,98546,98295,98118,98079,98278,98309,98319,97957,97920,97548,97998,97671,97554,97719,98403,97283,96918,96923,96973,96727
