driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69
1,101635,91345,90861,90201,90363,90101,90397,90675,89751,88710,89966,90486,88559,88141,88115,87695,87862,87961,90955,107170,87013,87635,88448,89230,88447,88263,88321,88412,87450,87032,87303,86947,86801,87599,87975,88076,87860,89349,88571,88672,89078,98980,129025,109706,117788,143815,143854,124969,95088,90090,92414,111708,86908,93485,99401,85871,86096,86495,88112,88493,86012,86938,85839,86178,87249,88663,87184,85727,86491
3,95978,89499,88808,88409,88277,88214,88563,88459,88692,88888,89092,88658,88591,89027,88549,88276,88794,88521,88531,91910,106432,88360,87970,89195,89055,88072,89039,88561,88339,88212,88536,88454,88499,88731,88881,88835,89801,89075,87883,87979,88541,95026,128803,112056,121971,145394,145489,126108,88251,87394,87318,86917,87083,87672,87569,87363,87453,87095,87150,87224,87153,87052,87179,127418,108633,87187,85253,85149,88315
4,102692,92138,90956,90629,90390,91251,90153,90363,90381,89767,90090,90075,90355,90200,92306,107493,89342,89407,89386,89181,90538,89316,89358,89219,89340,89454,89439,89269,90003,89217,89460,89043,89607,89462,89301,92104,107803,90660,89507,89947,89589,112497,112333,151240,144712,121943,91291,90347,89035,88633,89032,89896,89202,88909,89113,88617,88671,87970,88173,87965,87554,87490,87717,88067,88610,88625,87311,87976,87944
8.0,94200.0,89087.0,88731.0,88255.0,88309.0,88168.0,88370.0,88255.0,88341.0,88450.0,88153.0,88234.0,88426.0,88054.0,88187.0,88140.0,88403.0,88641.0,88738.0,88543.0,88229.0,91501.0,107080.0,86954.0,87607.0,87927.0,88122.0,88297.0,87771.0,87924.0,87905.0,87972.0,87645.0,88537.0,88008.0,88231.0,88526.0,88296.0,88398.0,88798.0,90511.0,91911.0,113428.0,130119.0,132088.0,145322.0,149065.0,126660.0,90599.0,89058.0,89466.0,93032.0,145313.0,89701.0,92339.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
13,100775,91857,90734,90312,90278,90150,90144,90129,90631,91136,90172,90402,90424,93041,115529,90466,90225,89920,89966,90174,89687,90303,90110,89882,90245,90564,91751,91708,93361,107240,88757,88330,89134,89127,90573,90121,91479,89682,89943,89817,98638,109661,111856,127878,145548,120247,91150,90534,89907,89988,89124,89532,90217,93557,106195,87717,87272,87230,86864,87289,87220,87025,87543,87907,90035,88613,88233,89148,89856
18,103467,92813,91399,90859,90558,90512,90004,90082,90469,90240,90583,90185,90310,93164,107162,89883,89315,89474,89535,89783,89872,90232,90446,89508,89610,89651,89525,89303,89211,89699,89887,89600,89759,89816,92442,107242,89863,89889,89701,89676,97749,107745,111934,140596,145038,122084,91615,90787,90781,89524,89251,89559,89321,88991,89191,89493,92035,89318,88714,88674,88568,88615,89424,88875,88535,88826,89278,88901,88862
20,92868,88820,88664,88067,88312,87976,88132,88361,88271,88339,88170,88278,88183,88206,88071,87913,88184,88748,88288,88510,91463,105677,86877,87386,87367,87505,87548,88011,87653,87822,88239,87775,87743,87769,87923,87925,88055,88012,87802,88048,87790,88098,110825,127289,148914,144948,154423,126538,88232,87439,87122,87095,87434,87482,87357,87283,87379,87265,87196,87221,87074,87344,86772,87038,87358,87340,87547,87211,88010
154,105374,92231,91457,91467,89466,90278,90128,89897,90449,90360,90901,90093,90071,93249,108011,89282,88998,89358,89610,90695,90737,89516,90265,90369,88952,89681,89650,89629,89214,89449,89780,89144,89660,92715,114696,89526,88782,89056,89287,89391,96383,111239,129439,120568,145347,119309,90943,90153,89794,90169,88991,89468,90193,88631,88407,88865,89288,88338,88116,88080,88213,88212,88115,88202,88194,88759,89524,88139,88610
807.0,98769.0,90222.0,90129.0,90073.0,89921.0,89716.0,89510.0,89921.0,89973.0,90997.0,89860.0,89687.0,89780.0,89599.0,92257.0,107962.0,89035.0,89180.0,88854.0,89418.0,89491.0,89277.0,89888.0,88916.0,89191.0,89471.0,89584.0,89732.0,89282.0,89047.0,89313.0,89185.0,89070.0,89396.0,89205.0,92095.0,106634.0,88074.0,89621.0,89093.0,89146.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
813,103745,93242,91676,91441,91669,91814,90618,90848,90623,90368,90626,90937,90268,90363,91100,91092,91718,90307,91959,91341,91042,91558,91621,94876,107001,107759,88092,87989,88175,88623,88646,88456,88903,88969,90207,91793,90103,89472,90127,91062,98815,131122,113206,112419,144070,118673,94044,92329,87643,87358,87234,87898,88450,90604,87520,88015,91278,92779,100817,87745,87298,87130,87424,87682,87615,88524,88101,88973,90132
815.0,99783.0,91895.0,90605.0,90359.0,90080.0,90077.0,90423.0,90060.0,90238.0,90052.0,90009.0,90695.0,91344.0,89624.0,89391.0,92509.0,107087.0,88638.0,100508.0,89253.0,89984.0,90848.0,89903.0,89911.0,90194.0,89944.0,90382.0,89895.0,90517.0,94463.0,108526.0,88791.0,89677.0,90014.0,90929.0,90113.0,90302.0,90959.0,89867.0,89825.0,97290.0,128053.0,111059.0,119008.0,144290.0,129499.0,89348.0,92079.0,89458.0,88645.0,88499.0,88967.0,96273.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
