driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58
1,134026,164420,154842,149373,104672,103254,103183,129117,108270,93039,95029,93110,92411,92496,92823,94389,91440,92310,91493,91066,91722,91959,90930,92222,91971,92927,91077,92219,92747,91880,91849,92254,91319,111864,95973,91206,88754,88762,88591,89220,89417,89035,88693,89032,88655,88510,88506,88705,89301,89867,90100,90025,89740,89799,90098,103890,91108,91739
3,132133,163719,155457,150108,105012,103546,102713,123343,107308,94833,94126,93968,93316,93782,93922,92896,92703,91920,91806,91603,91515,92276,92823,92281,92041,94365,92713,92186,92394,91643,91541,92009,112609,97536,89809,90343,90169,89504,89480,89553,89566,90512,89755,89280,89117,88994,88550,89040,89215,88629,88535,88776,88489,88634,88795,91315,90610,90398
4,146186,165042,154665,144931,106726,103024,101392,125461,107123,94971,94043,93567,92931,93335,91574,91946,91110,91473,91393,90963,91158,93851,91431,91463,91849,93240,92903,93159,92926,91327,91327,92169,91548,91291,90892,90430,90303,90350,89987,91031,90666,90646,90511,91019,90458,91106,89707,90594,90312,90076,90174,89863,89889,89873,89995,92567,90379,90509
5,141782,166300,155186,146273,106713,106159,106689,130478,111663,98634,97398,96280,95610,96093,95397,95435,95357,95143,94801,94845,95190,96225,95615,96801,97651,98089,101832,100759,96007,95935,96509,96484,101593,96242,95348,95710,95098,97301,94393,94478,93666,95375,94094,94594,95198,102668,96003,94710,94656,94457,94031,93638,93808,93938,97635,97172,inf,inf
9,131051,163646,155909,149677,105364,103814,102637,122769,107269,95294,94211,93347,93503,93197,94025,92493,92556,91936,92031,91542,91857,91869,92012,92062,92372,92861,93380,92888,92431,92028,91974,91843,91592,91115,91423,91062,90724,90770,90791,91264,91014,90816,90768,90475,90416,90240,90126,89927,90602,90225,90105,89570,90251,89876,90591,89755,90123,91096
10,145471,164394,154812,145894,108290,105478,107519,106250,130110,108778,96637,96791,95852,97218,96024,95490,94917,95360,97174,96141,95725,95863,97914,98142,101668,96502,96313,98315,96235,96579,99084,95631,95426,94992,96742,96954,94230,94520,94542,94842,96460,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,128151,164147,156413,150058,105264,104687,102553,126979,107510,95085,95285,93539,92988,93099,93651,94069,91849,91863,91840,91222,92174,93206,91242,92024,91582,93480,92881,93613,92508,91525,91405,92493,91324,91159,90642,90291,90474,90116,90297,90786,90889,90660,90693,91010,90551,90107,90151,90472,90757,89922,89868,89537,89873,90141,90520,90022,90893,91479
16,134951,164910,154168,149916,104336,103223,105594,109469,104118,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
17,129765,163762,156478,150204,104727,102950,102237,101251,102042,119819,105613,92794,92262,92414,93187,100211,90639,91627,90857,90690,90795,91948,91156,91846,91623,93668,92716,92440,91683,91637,91669,112077,96875,90921,89806,91467,89357,88737,88824,88869,89307,89193,88872,88483,88660,88705,88358,88895,88891,89297,90217,90008,89734,89923,90003,137103,98087,88471
18,133121,163718,155482,150053,104523,127760,109989,99126,97701,94639,93675,93156,92518,93078,94001,92309,92632,92037,92067,91765,91756,92010,91948,92115,92603,92431,92911,92713,91003,91329,90871,90664,90520,90201,90408,90546,90369,90621,90337,90306,90383,90195,90456,90187,89951,89870,89854,89712,90413,89699,89321,89291,90297,90566,90684,90082,91262,95296
