driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67
1,90059,81034,79972,79676,80444,79236,80649,79365,79401,80081,78607,78873,79301,78029,78657,78180,78021,78146,78065,78136,77929,78062,77948,77799,77834,78701,77890,78116,78856,77523,77661,78070,77820,78235,78948,78492,78714,78061,78012,77870,78244,81893,91116,77465,77251,79386,76957,77792,78899,81122,89258,102488,129219,129292,137019,128933,117415,76596,75745,76374,76070,76188,75708,75831,75758,75545,75808
4,89421,81211,81430,80376,80277,80439,80693,81040,80941,80629,80300,80001,80559,80879,80694,80347,81259,80599,80287,80482,80028,79898,79715,79826,79976,79931,79832,80730,80438,82265,85804,94628,80144,79341,80254,81232,79126,79646,80653,80313,79087,78572,82487,101855,87445,87826,93566,104215,97243,105394,119416,128538,106874,84583,88243,104649,81082,81995,79093,77741,78487,79859,78057,78332,82613,inf,inf
8,83317,78311,78655,78200,78211,78698,78769,79017,78770,78876,78679,78885,78472,81741,92453,77581,77379,77735,78041,78104,78015,77945,78125,78243,77286,77636,78017,78327,79241,77152,77979,78118,78346,78532,78366,78086,77843,78069,79599,77861,78219,77918,78262,78348,79719,81798,79680,80789,80117,82168,93961,103263,131483,138425,129108,129977,115541,77550,76940,76489,76595,76335,76541,75990,76240,76215,76226
20,80821,77942,77909,77777,78169,78447,78486,78521,78562,78606,78645,78577,78352,78301,78225,78451,77998,78377,78972,78744,78693,78680,78732,78649,82849,92038,77436,77935,78879,77522,77986,78024,78409,78372,78204,78326,78026,77810,77290,77298,77443,77843,77681,78292,79251,80700,79382,79133,80281,83376,89270,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
154,86939,80914,80461,80124,80247,80375,81555,81366,80649,80690,80265,80429,80765,80039,80164,80264,79737,79953,79909,79945,83258,95865,79058,79076,79705,78889,79348,80045,78675,79478,79312,79254,79258,78738,78839,78662,78904,79007,78787,78815,78894,79035,78656,80013,81359,81561,81008,81801,85795,96019,110226,133227,129646,107905,93736,100043,81633,80177,78715,78336,78122,77974,78046,77343,77863,76716,77104
807,86342,80742,80322,80011,80179,80409,80279,80365,80258,80176,81046,80001,79841,80043,80001,80057,79968,83448,93716,79474,80006,79627,79954,80286,79510,79557,79647,79903,79732,80051,79925,79056,79200,79641,79051,78925,78841,78766,79016,78846,78577,78800,79001,80007,81068,81457,81333,81793,84868,93250,99023,133756,117174,96106,92913,110146,107327,79309,78766,78478,78207,78081,78212,77991,77985,77910,78698
815,87480,81113,80576,80237,80246,80316,79616,80225,81115,80650,80041,79903,80070,79999,80291,80164,79967,80054,79535,79603,79760,82980,99880,79319,79731,79000,79382,80023,79734,79179,78978,79043,79082,78705,78865,78960,79100,79031,78740,78860,78805,79114,79100,79937,81201,80531,81277,82921,84471,102678,102288,127983,129004,104873,86476,88143,106362,79724,78910,78603,78670,78248,78071,78063,78083,77867,79445
817,92855,83040,81676,80316,79580,78983,79887,80830,80174,79885,80330,79965,80553,80590,81218,80126,79336,79777,79475,79214,78741,78262,78448,78520,78285,78373,78420,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
822,81972,78355,78253,78239,78222,78801,78871,78817,78962,78570,78408,78473,78367,78396,78092,78518,78538,78875,79077,78684,78527,78614,78994,79021,79076,78899,79290,83547,93659,76956,77787,77727,77403,77599,77570,77619,78271,78873,77305,77381,77313,77946,77592,77606,78222,81822,80370,79568,79723,82063,91867,102191,145527,125596,129030,128980,116619,77557,76655,76372,76610,75963,76937,75808,75721,75796,76318
825,85505,80464,80059,79957,79748,79941,79899,80387,80406,80051,79900,79746,79910,80870,80058,79942,79902,79839,79756,83179,93787,79749,79763,79762,79794,79905,80193,80525,80214,79599,79369,79032,79230,79059,79020,79062,78711,78850,78672,78795,78476,79023,79002,80405,81288,83617,81269,81774,86987,101120,107693,145657,119934,105775,94157,104848,79024,79796,78294,78499,78083,78040,77721,78129,77844,77697,78002
