driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61
1,112282,107656,107049,106990,106931,107090,107088,106922,106633,106512,106526,106595,106236,106072,112950,195953,186013,180702,159927,113138,111129,109896,110187,110247,110032,109653,109919,109364,109834,108624,108291,108150,108806,107807,107808,108088,107964,108080,107826,107981,107598,113216,128029,106666,106844,107161,106753,106837,106940,107499,113716,173529,163384,109883,107673,107685,107545,107695,108151,107735,108731
2,119102,110517,109424,109296,109303,109062,108376,108240,108109,107635,107703,107879,107717,107306,117747,170041,184586,178054,156893,113976,111264,110257,110774,109981,109805,110242,109950,109753,109557,109237,109225,109075,108460,108124,108388,108149,108247,107891,108935,108357,107310,108028,112114,130069,109200,109016,108406,108890,108582,109190,121623,150737,159045,112132,109391,107864,108010,107826,107398,108082,107855
3,121121,112422,112179,112019,111609,110976,108605,107184,106948,106729,106899,106913,106799,106945,117557,165014,180575,167888,164264,109503,107529,107502,107517,107309,107287,107230,106940,111184,132819,107415,107127,107045,107180,106604,106955,107058,106757,106585,106454,110719,131244,108156,108096,107758,107719,107714,107755,107643,108062,107684,119010,174719,163799,109075,108179,107599,107545,107459,107484,107508,107688
4,122063,112712,112149,112358,111440,111188,111663,112324,109799,107629,107347,111000,133083,109628,175329,119629,127012,165974,162664,112546,110882,110049,109899,109871,109260,109722,110015,108316,109019,106953,106957,107181,106195,106044,106265,106391,106020,106173,105870,105843,110051,129819,107632,106692,106797,107098,106865,106495,107588,107122,114031,197238,163434,106699,105768,107717,107037,108550,108363,106915,109931
5,118416,110281,109303,109386,108707,108833,108652,107937,108269,107839,107868,107923,107636,107337,115868,171848,185474,181398,155414,114538,111540,110411,110571,111099,110245,109506,110076,110173,109724,110017,110003,109363,109369,114221,131813,109833,109407,109160,108630,108961,108971,108987,109603,109197,109689,108969,109162,109323,109009,108953,116304,138459,157166,112582,110292,109536,109525,109625,108819,110695,111291
6,121690,112588,112149,112261,111447,111257,111379,110301,108470,108091,107917,107483,107287,108021,116545,151867,184422,177863,156523,114177,111245,110282,110604,110782,109565,110114,109851,110134,109500,109081,109273,109179,109268,111717,109916,109810,109723,109148,108257,107431,108088,112810,132569,108674,107913,107593,107927,107675,107547,108204,116009,150047,158097,112355,109818,109102,108809,109427,108945,108345,108221
7,124490,113274,112493,112271,112156,111303,110910,112009,112310,110679,110927,109730,116478,110205,118095,127643,178997,169799,166453,115356,111755,111205,118366,109184,108373,108563,117153,108575,107820,107890,109574,109708,114355,135538,110529,109886,109193,108655,109087,110899,110409,110169,111963,111715,109306,109001,110332,109823,110901,112406,122566,116639,146396,111530,110673,109674,109854,110675,109042,109672,111104
8.0,114526.0,109194.0,107730.0,107550.0,107282.0,107026.0,107102.0,106512.0,106115.0,106105.0,105764.0,105985.0,106301.0,105599.0,111997.0,196804.0,188229.0,186665.0,153045.0,114666.0,111478.0,110611.0,110144.0,110816.0,110636.0,109412.0,109762.0,110243.0,109842.0,110020.0,109863.0,109407.0,109463.0,110254.0,109166.0,107871.0,109347.0,111004.0,108638.0,106846.0,107274.0,107837.0,106159.0,107168.0,106651.0,106664.0,106465.0,107017.0,107935.0,112511.0,134965.0,156706.0,161759.0,110786.0,107955.0,107455.0,107648.0,100000000.0,100000000.0,100000000.0,100000000.0
9,115883,109074,108154,107914,107865,107871,107761,107021,107778,107366,107058,107146,107040,106899,110456,187081,193535,165519,162583,112985,110550,110026,110037,109718,109230,109983,113786,133031,107899,107465,109008,107785,113123,132679,109563,108760,108676,108804,109292,110740,110763,109604,109920,110475,109040,108376,108634,108498,108301,108365,112827,132652,156944,112604,110828,109677,109661,110428,109399,109505,110634
10,117721,109819,109123,108716,108432,108645,108697,108521,107851,107884,107543,107243,107306,107781,117933,171214,184354,180080,157759,113266,111227,109992,110433,109683,110449,109856,109872,109697,109644,109388,108612,108528,108297,108502,108068,108618,108135,108619,108348,107625,107895,108122,107305,107468,107371,111813,128877,107568,107122,107044,114653,166718,162109,110464,108051,107442,107700,107936,108488,107217,109615
