driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52
1,100444,100770,100519,101476,108413,97464,96674,96593,96791,96595,97783,96235,96445,96173,96464,96642,96449,96716,96803,96883,97172,96998,97792,97403,97283,97852,98117,97612,115083,95490,98252,97900,97884,98204,98043,114493,96945,99204,100518,99180,98338,98472,98504,99063,99905,99200,99649,100253,100040,100076,100412,100082
3,96282,96420,95907,95750,95972,96445,96466,96534,96452,96345,96560,96056,96727,96007,122919,95646,97403,97699,97336,97505,97740,98793,99492,98041,98104,98038,97955,97904,98037,98242,98336,98594,99022,98900,99539,99094,116252,97969,100593,100198,99759,99836,100154,100540,100599,100737,100572,101079,100768,101472,103684,112208
4,96305,95609,96086,95385,96323,96221,96723,96585,96791,96807,96186,96357,96459,95966,113345,94739,96509,96703,96584,96762,96885,96842,97364,97319,97551,97719,97342,97042,97732,97700,98092,98103,98149,99065,98467,97689,115402,96875,98866,99099,98765,98518,99217,99243,99490,99820,99255,99398,99941,100256,100924,103773
5,102011,99124,98669,101344,98287,98457,98436,100316,99989,99750,100292,100272,100130,98358,98050,98222,98991,99787,100791,99373,98757,118249,97252,99096,99767,99457,99297,100130,100066,100186,99598,100302,100358,100371,99945,99874,99881,99901,119165,100860,101716,101135,101483,101799,101960,102460,101843,102250,101959,103766,114970,inf
8,95744,96138,94661,94728,95317,95402,95408,95360,95447,95349,95420,95558,95745,96143,96100,96613,95894,114869,95064,96883,97248,97602,97885,96726,96907,97259,97717,97510,97386,97957,98424,98809,98783,98671,98756,98303,98669,99561,117452,97729,99906,99439,100006,100269,100432,100736,99656,99926,100630,100770,101134,107501
10,99219,97422,97884,97549,98002,97945,98281,100547,99386,98246,99664,98261,118247,97824,100863,100364,99545,100762,101016,99816,100095,101134,101469,100078,100178,100638,101326,100848,102370,101337,100795,100479,119151,99213,101733,101419,101222,101648,102259,103481,101313,102268,102837,102394,102244,102406,102644,102671,104223,104309,113739,inf
13,95483,96415,95041,95111,95552,95458,96123,95740,95604,96372,95692,95623,96138,95836,95725,95970,113446,95133,97485,97588,97502,97435,97483,97356,97367,97536,97765,97974,97783,97739,98053,98156,98382,98104,98135,98219,98931,98677,116728,97673,99106,99526,100036,100241,100182,100992,100287,99865,99749,101894,100872,105524
17,95778,95281,95230,94934,94953,96292,96569,95836,95870,95682,95986,95949,95977,96469,96137,96279,95954,96132,113928,94629,96938,97089,96971,97072,97313,98175,97505,97684,97665,97540,97979,98169,98504,98416,98314,98180,97498,115784,97855,99752,99170,99384,99307,99640,100249,99913,99706,99932,99913,100451,100978,104377
18,96086,96992,96725,96311,96121,96276,96378,96828,96891,96931,96968,96133,96375,96519,96640,96481,96464,96677,96296,96329,113271,97887,98892,98542,98212,98279,97932,98069,98440,98545,98687,98334,98416,98044,97879,116049,98932,100480,100418,100364,99835,99732,100039,100175,100624,100640,100476,100958,100757,101263,103672,111468
20,94897,95645,95105,95208,95458,95667,95982,95750,95906,95959,95834,96303,96039,96075,95944,96798,96538,96577,96869,96357,114252,95176,97249,97635,97668,97675,97712,97485,97905,97640,97794,98114,98037,98043,98196,98011,98230,99326,99084,99215,98273,116197,97773,100332,100419,100906,100009,100197,99955,101514,100820,106371
