driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69
1,93423,89504,89096,88644,88471,88314,87874,88194,88031,87705,87813,87794,87667,87924,87958,88231,88330,91714,104690,87857,87465,87374,87394,87387,87397,87162,87473,87366,87563,87536,87891,87391,87602,87445,87486,87774,88073,87492,88132,89258,103047,86687,86665,86249,86664,87030,87202,86913,87044,87142,87238,86817,86424,86559,86396,86125,86315,86112,86359,85801,86627,86358,85752,85942,85677,85885,86080,86107,86391
3,100709,91596,90541,89952,89916,89087,89350,88948,88992,89238,89144,89417,88956,89076,89472,90700,105730,88578,88751,88335,88227,87766,88389,88780,88206,88029,87697,87698,87665,87921,87948,87532,87801,87673,87427,87295,87567,87962,87982,90863,105089,86949,87479,87605,87626,87414,87566,88334,87285,87244,87938,86730,87030,87123,86411,86662,86382,85830,86345,86330,86634,87039,86258,86226,86669,86776,86583,87298,86966
4,97308,90827,89831,89321,89352,88952,88840,88614,88622,88592,88508,88485,88244,88460,88345,88369,90995,105235,89195,88146,88911,88439,87997,88164,87834,87587,87475,87299,87244,87486,87378,87386,87422,87637,87422,87256,87875,87311,87467,87750,88421,87902,90995,103832,86963,86999,87026,86977,87288,87087,86923,86768,86437,86439,86600,86651,86111,86070,87405,86449,86394,86062,86042,85769,85738,86187,86529,86117,86394
5.0,103176.0,93099.0,91230.0,90843.0,90535.0,90333.0,90386.0,90179.0,89555.0,89916.0,90197.0,90059.0,89661.0,89900.0,89987.0,90301.0,93861.0,107542.0,90052.0,89970.0,89204.0,88922.0,88954.0,89662.0,89336.0,89297.0,88879.0,88961.0,89030.0,89120.0,89354.0,89494.0,89398.0,88868.0,90719.0,91929.0,107757.0,88441.0,90107.0,92078.0,90712.0,88490.0,88372.0,88623.0,90304.0,88440.0,88390.0,92097.0,90101.0,88562.0,89829.0,88307.0,88577.0,88197.0,88823.0,91332.0,105543.0,86801.0,89055.0,87400.0,86836.0,86595.0,86930.0,87016.0,87041.0,86871.0,87569.0,87394.0,100000000.0
8,97664,90944,89850,89471,89660,88834,88708,88504,88699,89028,88425,88640,88143,88528,88324,88121,88362,87669,87716,90083,104964,87371,87694,87296,86763,86900,87527,87455,86904,87173,87364,87438,87178,87305,86995,86365,86128,86817,86719,88122,85728,85934,86663,86454,88869,103161,86328,86395,86683,86386,86627,86477,86437,86530,86328,86335,86194,86314,86110,85960,86364,86341,85914,85908,85811,86118,86021,85926,86368
10.0,105902.0,93977.0,102105.0,91596.0,91659.0,91928.0,91873.0,92007.0,92402.0,92094.0,91964.0,91983.0,92437.0,92561.0,92029.0,92768.0,92513.0,96863.0,111807.0,94640.0,92264.0,92277.0,91766.0,94359.0,91455.0,93021.0,90966.0,94179.0,91705.0,91049.0,90793.0,93294.0,90203.0,90194.0,90264.0,90400.0,92817.0,91934.0,90700.0,93318.0,107565.0,92088.0,89674.0,89715.0,91750.0,89809.0,91634.0,92744.0,91249.0,89429.0,89065.0,88940.0,90460.0,90439.0,88447.0,88809.0,88900.0,90413.0,89189.0,93747.0,91079.0,89626.0,91985.0,89806.0,92211.0,94324.0,100000000.0,100000000.0,100000000.0
13,99656,91226,90363,89542,89277,89103,89280,88796,88664,88837,88993,89101,88572,89014,89186,89281,89991,92016,105269,88069,87883,87696,88984,88233,88598,87442,87529,87676,87363,87464,87534,87433,87445,87471,87533,87630,87618,87282,87853,88199,88637,87966,90749,104137,86582,86659,86695,87019,86205,86207,86352,86982,86282,85920,86066,86557,86229,86087,86004,86268,86012,86390,86657,86422,86225,86561,86964,86898,89019
17,98639,90987,90092,89465,89365,88962,88816,88668,88716,88807,88516,88574,88374,88494,88762,88395,88483,88267,88333,90735,104648,88227,88085,88540,87737,87704,87531,87439,87384,87509,87057,87499,87359,87356,87363,87426,87481,87681,89911,101645,85402,86429,87286,86028,87321,86772,86674,86447,86263,86009,86477,86262,86786,86890,88458,102406,85998,86022,86083,86129,86393,86539,86658,86062,86140,86758,86973,86296,86968
18,95840,90309,89389,88844,88781,88454,88572,88356,88439,88332,88403,89296,88029,88367,92444,103609,87918,87963,87788,88174,87432,87258,87163,87280,87419,87125,87232,87247,87363,87321,87339,87465,88041,89971,102565,87183,87313,87672,88196,87476,87769,87051,86424,86349,89348,103386,86682,87100,87286,87425,86882,86932,86394,86419,86703,86639,86104,85831,86910,86647,86554,86440,86312,85867,86126,86695,86230,87319,86554
20,96703,90360,89320,88956,88718,88860,88664,88565,88474,88261,88363,88827,88282,88479,89139,88027,90729,104144,87327,87731,87627,87372,87272,87057,87533,86990,87502,86918,87503,87355,87526,87356,87559,88084,86512,86725,86783,89872,102328,86949,87278,87355,87700,87214,86982,87639,87426,86948,87026,86906,86813,86686,86541,86296,86200,86871,86443,88457,101412,85137,84864,84584,85682,85152,84850,84773,84752,84136,84242
