driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53
1,,[],[],[],[],[],[],[],"[4, 13]",[18],[],[],[],[],[],[],[],[],[],[],[],[13],[],[],[],[13],[],[],[],[13],[],[],[],[17],[],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,,[816],[153],[],[],[],[15],[],[],[5],[],[],"[5, 811, 813]",[],[],[815],[],[808],[],[],[],[],[],[],[808],[],[],[],[],[],[],[22],[155],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[814],[],[16],[],[],[]
4,,[],[],[],[],[13],[],[1],[],[],[1],[],[],[],[],[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
5,,[],[],[],[],[],[],[],[],[],[3],[813],[],[811],[],[],[],[],[],[],[],[],"[153, 813]",[],"[153, 811]","[808, 815]",[],[],[],[],[15],[],[],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[811],[]
10,,[],[],[],[],[],[],[],[],[],[],[],"[816, 817]",[],[],[],[],[],[],[817],[],[],[],[],[],[816],[],[816],[],[],[],[],[24],[],[],[],"[816, 817]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13,,[],[],[],[],[],[],[1],[],[],[],[17],[],[],[],[],[],[],[],[],[1],[],[1],[],[],[],[],[],[1],[],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[815],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[808, 811, 813, 815, 153]",[],[],[],[],[],[],[],[],[],[5],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
16,,[],[],[],[],[],[],[],[],[814],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],[155],[],[],[],[],[],[],[],[],[],[],[],[],[814],[],[],[],[],[],[],[],[],[]
17,,[],[],[],[],[],[],[],[],[],[13],[],[],[],[],[],[],[],[],"[1, 13]",[4],[],[],[],[],[],[],[],[4],[],[],[],[],[],"[1, 13]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[],[],[],[],[],[1],[],[],[1],[],[],[],[],[],[],[],[20],[],[],[],[],[],[],[],[],[],[],[20],[],[],[],[],[20],[],[20],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
