driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67
1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,,[],[],[],[],[],[],[],[],[],[],[],"[154, 815]",[],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[20],[],[],[13],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[],[821],[],[],[],[],[],[],[815],[],[],[],[],"[825, 822]",[],[],[],[821],[],[],[],[],[],[],[],[],[],"[821, 822]",[],[],[],[],[],[],[],[],[],[],[],[],[817],[815],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],[],"[18, 20]","[8, 13]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[20],[18],[],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[20],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13,,[],[],[],[],[],[],[],[],[],[],[832],"[830, 831]",[],[828],[],[],[826],[],[],[],[],[],[],[],[],[],[836],[],[],[],[],[],[835],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[],[],[],[],[],[],[],[],[],[815],[],[],[822],[],[],"[817, 821]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[815],[],[],[817],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[815],[],[]
20,,[],[],[],[],[],[],[],[],[],[18],[13],[],[],[20],[],[],[],[],[],[],[],[],[],[],[],[],[18],[13],[],[],[],[20],[],[],[],[],[],[],[],[],[],[],[],[18],[],[],[20],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
154,,"[832, 836]",[],[831],[],[830],[],[828],"[825, 826]",[],[822],[],[821],[815],[807],[],[],[],[],[],[830],[],[828],[],[826],[],[],[825],[822],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[830],[],[828],[],[826],[],[],[],[],[],[],[],[],[],[],[],[],[]
807,,[],[],[],[],[],[],[],[],[],[],[],[],"[821, 822]",[817],[],[815],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[807],[],[],[],[],[],[],[],[],[],[],[],[],[815],[],[],[],[],[],[],[],[],[],[],[],[],[],[807],[],[],[],[],[],[]
815,,[830],[],[],[],[828],[],[],[],[835],[],[831],[828],[826],[825],[],[],[],[],[],[],[],[822],[],[],[],[],[],[],[826],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[825],[],[],[822],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[821],[],[],[]
