driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55
2,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[18],[60],[58],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
14,,[],"[22, 30]",[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],"[22, 30]",[],"[22, 30]",[],[],[],[],[],[],[],[],[],[],[],[],[23],[57],[],[49],[],[50],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[],[],[],[],[],[],[],[],[60],[55],[],[58],[],[],[],[],[],[],[21],[],[],[],[],[60],[],[58],[],[4],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21,,[18],[],[],"[60, 23, 30, 22]",[],[],[],[],[],[],[55],[],[],[],[],[],[],"[57, 23]",[],[],"[18, 58]",[],"[60, 54, 55]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[],[],[],[],[],[],[],[],[],"[60, 21]","[15, 55]",[49],"[57, 23]",[],"[50, 14]",[],[],[],[],[],[],[50],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
23,,"[56, 4, 60]","[18, 58, 21, 54]",[],"[22, 30]",[],[],[],[],[],"[15, 21, 55]",[49],[],[],[],[],[],[],[],[55],"[21, 54]",[],[],"[49, 15]",[],[],[],[57],[],[],[50],[],[],[],[],[],[],[],[],[],[57],[],[],[50],[],[],[],[],[],[],[],[],[],[],[]
30,,[],[],"[50, 15]",[],[],[],[],[],[],"[60, 21]","[15, 22, 55]","[49, 23, 57]",[],[50],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
31,,[4],"[56, 58]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
35,,[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
44,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
49,,[],[30],"[22, 15]",[],[50],[],[],[],[],[],[],[],[],[],[],[],[23],[57],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[57],[23],[],[],[],[50],[],[],[],[],[],[],[],[],[],[],[],[]
50,,[],[30],[],"[49, 22, 30]",[],[],[],[],[],[49],[],[],[],[],[],[],[],[],[],[],[22],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
54,,[],[],[],[],[],[],[],[],[],[],[60],"[18, 55]",[],[],[],[],[],[23],[],[],[],[],[],"[58, 60]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
