driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65
2,,[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[13],[15],"[18, 23]","[13, 31]",[],[],[],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[49, 18, 13]",[35],[],[],[],[],[],[],[],[],[],[18],[13],[],[],[],[15],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
11,,[],[],[8],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13,,[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[15],"[18, 23]",[],[49],[],[],[23],[],[],[],[],[],[],[],[],[],[],[],[44],"[2, 18]",[15],[],[35],[],[],[],[],[],[],[],[],[],[18],[],[],[],[],[15],[],[],[],[]
14,,[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[15],[2],"[18, 23]",[31],[],[2],[23],[],[],[],[],[15],[],[18],[],[],[],[],[],[],[],[15],[13],[15],[],[],[],[],[],[],[],[],[],[],[15],[],[],[],[],[],[],[],[]
15,,[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[59, 44]",[56],"[49, 44]",[13],[],[23],[],[],[],[],[],[2],[],[],[],[],[],[],[18],[],"[49, 35, 13]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[49, 13]",[2],[],"[15, 23]",[],[],[],[],[],[],[],[],[],[],[],[2],[],[],"[49, 66]",[35],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21,,[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
23,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[49, 18, 13]",[],[2],[],[],[],[],[],[],[],[],[],[],[59],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
30,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[23],[],[31],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[31],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
