driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56
1,,[],[],[],[],[],[],[],[],[],[],"[813, 814]",[4],[],[],[],[],[],[],[],[],[],[],[],[],[13],[814],[811],[],[813],[],[],[],[],[],[],[],[],[],[],[],[813],[811],[],[154],[],[],"[8, 17]",[],[],[],[],[],[20],[],[]
3,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[811],[13],[814],[813],[],[],[],[],[],[],[],[],[],[],[],[],[],[815],[],[],[8],[],[],[],[],[],[],[]
5,,[],[],[],[],[],[],[],[],[20],[1],[],[],[37],[],[],[],[10],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],[],"[813, 814]",[4],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[814],[813],[],[],[],[],[],[4],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
10,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13,,[],[],[],[],[],[],[],[],[],[1],[4],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[811],[],[],[814],[813],[],[],[],[],[],[4],[],[],[],[],[],[],[],[],[],[],[],[8],[],[],[],[],[]
17,,[],[],[],[],[],[],[],"[808, 818]",[20],[817],"[813, 814]",[4],[],[],[],[],[],[],[],[],[],[],[],[],[],[13],[814],[811],[813],[],[],[],[],[],[],[],[],[155],[],[811],[],[],[],[154],[],[],[],[],[],[],[],[],[],[20],[]
18,,[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[],[],[],[],[],[],[],[],[],[],[811],[],[815],[],[20],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[8],[],[],[20],[],[],[],[],[]
20,,[],[],[],[],[],[],[],[],[],[],[5],[817],[],[],[],[],[],[815],[],[],[],[],[],[155],[],[],[],[],[],[],[],[814],[],[],[],[],[],[4],[],[],[],[],[],[],[],[],[8],[],[],[],[],[],[],[],[]
