driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52
1,,[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[3],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[830],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,,[],[],[],[830],[832],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[815],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[817],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[815],[],"[835, 837]",[831],[],[822],[],[],[],[],[],[],[13],[],[20],[],[],[],[],[],[],[],[],[],[],[],[],[],[831],[],[],[],[],[],[822],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[],[],"[817, 3, 830]",[],"[18, 837, 822]",[831],[],[],[],[],[],[],[],[],[],[4],[],[],[],[],[],[],[832],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[807],[],[],[],[],[],[]
13,,[],[],[],[],"[8, 154, 4, 821]",[],[831],[],[822],[],[],[],[],[],[807],[],"[4, 20]",[826],[],[],[],[],[4],[],[],[],[826],[],[],[],[],[],[],[],[],[],[],[],[822],[],[],[],[],[],[],[],[],[4],[],[],[]
18,,[],[],[],[],"[4, 807, 20, 822, 154]",[],[154],[],[],[],[],[],[],[],[],"[13, 831]",[],[],[],[],[],[],[822],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
20,,[],[],[],[13],[],"[154, 835]",[831],[],[822],[],[],[],[],"[826, 4, 807]",[],"[826, 831]",[],[],[],[],[],[],[4],[],[],[],[18],[],[],[],[],[],[],[],[],[826],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
154,,[],[],[],[],[],[825],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
807,,[],[],[],[],[],"[835, 837]",[831],[],[822],[],[],[],[],[],[],[826],[],[],[],[],[],[],[],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
815,,[],[],[],[],"[8, 4, 822]",[826],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[8],[],[832],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
