driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73,lap_74,lap_75,lap_76,lap_77
14,,[],[],[],[],[],[56],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[15],[65],[21],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[65],[30],[],[],[],[],[56],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],[56],[77],[],[],[],[],[],[30],[],[],[],[],[],[],[55],[],[],[22],[],[],[75],[],[],[],[],[],[],[],[56],[],[],[],[],[],[],[],[],[],[],[],[79],[],[],[77],[55],[],[],[79],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21,,[],[],[],[],[],[],[56],[77],[],[],[],[],[],[30],[],[],[],[],[],[],[23],[55],[],"[22, 23]",[15],"[65, 75]",[],[],[],[],[],[15],[],[75],[56],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[],[],[],[],[],[],[56],[77],[],[],[],[],[],[30],[],[],[],[],[],[],[55],[],[],[],[],[],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
23,,[],[],[],[],[],[],[56],[77],[],[],[],[],[],[30],[],[],[],[],[],[],[],[55],[],[],[],[77],[],[],[],[],[],[],[],[],[55],[],[],[],[56],[],[],[15],[],[],[],[],[75],[],[],[65],[],[],[15],[],[],[56],[],[],[],[],[],[],[],[75],[],[],[],[],[],[],[],[],[],[],[],[]
30,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[77],[],[],[],[],[56],[],[55],"[22, 23]","[65, 15]",[75],[21],[],[],[],[],[],[56],[],[],[],[],[],[],[],[],[],[],[],[],[75],[],[],[65],[23],[],[75],[],[],[56],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
35,,[],[],[],[],[],[56],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[65],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[65]
49,,[],[],[],[],[],[56],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[14],[35],[65],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
50,,[],[],[],[],[],[],[56],[],[],[],[],[],[],[79],[],[],[],[63],[],[79],[],[58],[],[],[],[77],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[63],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
55,,[],[],[],[],[],[77],[56],[77],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[77],[],[],[],[],[],[],[],[],[],[50],[],[],[],[],[],[],[64],[],[15],[],[79],[],[],[],[],[],[],[],[],[],[],[],[],[50],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
56,,[],[],[],[],[],[],[],[],[],[],[],[64],[58],[63],[50],[],[79],[],[],[],[],[],[],[77],"[23, 55]",[22],[75],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[55],[],[],[15],[],[55],[],[],[75],"[30, 23]",[],[],[],[],[],[],[],[],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[]
57,,[],[],[],[],[],[56],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
58,,[],[],[],[],[],[],[56],[],[],[],[64],[],[],[],[64],[],[50],[63],[50],[79],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[63],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
63,,[],[],[],[],[],[],[56],[],[],[],[],[58],[],[],[50],[],[],[],[],[],[],[58],[],[],[],[58],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
64,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[79],[],[58],[63],[],[],[77],[],[],[],[],[],[],[],[],[],[50],[],[],[],[],[],[],[],[],[],[],[50],[],[],[77],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
65,,[],[],[],[],[],[56],[],[],[],[],[],[],[55],[30],[],[],[],[],[],[],[55],[],[],"[14, 15]",[],[],[75],[21],[],[],[],[],[56],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[75, 23]",[],[],[],[],[56],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
71,,[],[],[],[],[],[56],[],[],[],[57],[],[],[30],[],[],[],[],[],[],[],[],[],[35],[],[],[65],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
75,,[],[],[],[],[],[],[56],[50],[],[],[],[],[],[77],[],[],[],[],[],[],[],[55],[],"[30, 23]","[22, 15]",[],[],[],[],[],[],[23],[],[],[56],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[55],[15],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
76,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
77,,[],[],[],[],[],[],[56],[],[],[],[],[],[],[],[50],[],[],[],[79],[],[],[58],[],[],[50],[],[],[],[58],[],[],[],[],[],[],[],[63],[],[],[],[],[],[],[50],[],[],[79],[],[],[],[50],[],[],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
79,,[],[],[],[],[],[],[56],[],[],[],[],[],[63],[],[50],[],[63],[],[],[],[],[],[58],[],[],[77],[],[],[63],[],[],[],[],[],[],[77],[50],[],[],[],[],[],[77],[64],[77],[],[],[],[],[50],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
81,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
