driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73
2,,"[50, 55]",[],[],[],[63],[],[63],[],[],[],[],[],[],[63],[],[60],[],[57],[],[],[],[],[],[],[56],"[50, 55]",[],[],[],[],[],[],[],[49],[],[],[],[],[48],"[41, 37]",[35],[],[],"[48, 41]",[],[],[],[48],[],[],[],[41],[],[],[],[],[],[],[],[],[],[],[],[35],[],[],[],[],[],[],[],[]
14,,[],[],[],[],[],[],[],[],[],[],[],[],[],"[56, 55]",[],[],[],[],[],[50],[],[49],[],[],[48],[41],[37],[],[],[],[],[],[],[35],[],[30],[],[25],[23],[],[41],[37],[],[35],[],[30],[],[25],[],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[65],[],[64],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[],[],[],"[64, 65]",[63],"[57, 60]","[56, 50, 55]","[48, 49]",[],[],[],"[41, 35, 37]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21,,"[60, 63]",[],[60],[57],[],[],[],[],[],[],[],[],[],[65],[],[],[],[64],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[60],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[],[],[],[],[],"[48, 49, 50, 55]","[41, 37]","[35, 30]",[],[],[],[],[],[35],[],[],[],[35],[],[],[],[],[],[],[30],[25],[],[],[],[],[],[],[],[23],[],[],[],[22],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
23,,[30],[],[],[],[25],[],[],"[35, 37]",[],[30],[25],[23],[22],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[25],[],[],[],[49],[],[],[48],[41],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
25,,[],[],[],[],[49],[],[],[],[],[],[65],[],[],[64],[],[],[63],[60],[],[],[],[],[],[],[],[56],[],[],[],[],[],[],[],[55],[],[],[],[],[],[],[],[],[],[],[55],[],[],[49],[],[],[],[48],[],[],[],[],[],[],[],[],[],[],[],[41],[],[],[],[],[],[],[],[]
30,,[],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
35,,"[25, 23]",[],[],[],[22],[21],[],[25],[],[],[],[],[25],[],[],[],[30],[],[],[],[],[],[],[],[25],[23],[],[],[],[],[],[],[],[22],[],[],[],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
37,,"[56, 57, 55]",[50],[49],[],"[48, 41]","[25, 35, 37, 30]",[],[],[],[49],[],[],[48],[41],[],[],[],[],[],[41],[],[],[],[],[37],[35],[],[],[],[],[],[],[],[30],[],[],[],[],[],[],[49],[48],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
41,,"[41, 35, 37]",[],[],[],[30],[],[],[49],[],[],[],[],[49],[48],[],[],[],[],[],[],[],[],[],[],[49],[48],[],[],[],[],[],[],[],[41],[],[],[],[],[37],"[35, 30]",[25],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[25],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
48,,"[64, 63]",[60],[57],[56],"[50, 55]","[35, 37, 41, 48, 49]",[],[],[56],[],[],[],[55],[50],[],[],[],[],[],[],[],[],[],[],[50],[49],[],[],[],[],[],[],[],[48],[],[],[],[],[41],"[35, 37]",[30],[],[],[],[],[],[],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[49],[],[],[],[],[],[],[],[]
